title,tags
Rendition,"When an Egyptian terrorism suspect ""disappears"" on a flight from Africa to Washington DC, his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US. Drama Thriller Omar Metwally Reese Witherspoon Jake Gyllenhaal Moa Khouas Zineb Oukach Igal Naor Laila Mrabti David Fabrizio J.K. Simmons Meryl Streep Peter Sarsgaard Alan Arkin Najib Oudghiri Craig Johnson Reymonde Amsallem anti terror terror cia loss of son police brutality terrorist loss of brother war against terror kidnapping intelligence despair inhumanity senator plo civil rights activist hijacking terror cell loss of husband politics politician government loss of daughter torture by the police torture cruelty american surveillance"
Star Trek VI: The Undiscovered Country,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace. Science Fiction Action Adventure Thriller William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei Walter Koenig Nichelle Nichols Christopher Plummer Kim Cattrall David Warner Rosanna DeSoto Brock Peters Kurtwood Smith Iman Mark Lenard Grace Lee Whitney Leon Russom John Schuck Paul Rossilli Robert Easton Michael Dorn Christian Slater Jeremy Roberts Darryl Henriques farewell federation starfleet peace conference uss enterprise-a rura penthe court case peace contract plan klingon space opera"
Divine Secrets of the Ya-Ya Sisterhood,"A mother and daughter dispute is resolved by the ""Yaya sisterhood"" - long time friends of the mother. Comedy Drama Romance Sandra Bullock Ellen Burstyn Fionnula Flanagan James Garner Cherry Jones Ashley Judd Maggie Smith Shirley Knight Angus Macfadyen Jacqueline McKenzie Kiersten Warren David Lee Smith Gina McKee Matthew Settle secret society conciliation marriage mother daughter relationship playwright family feud woman director"
Kiss the Girls,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone. Drama Mystery Thriller Crime Morgan Freeman Ashley Judd Cary Elwes Alex McArthur Tony Goldwyn Jay O. Sanders Bill Nunn Brian Cox Richard T. Jones Roma Maffia Jeremy Piven Gina Ravera William Converse-Roberts Helen Martin Tatyana Ali Mena Suvari Heidi Schanz Rick Warner washington d.c. covered investigation investigation north carolina missing person"
The Blues Brothers,"Jake Blues is just out of jail, and teams up with his brother, Elwood on a 'mission from God' to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best – play music – so they get their old band together and they're on their way, while getting in a bit of trouble here and there. Music Comedy Action Crime Dan Aykroyd John Belushi James Brown Cab Calloway Ray Charles Aretha Franklin Steve Cropper Donald ""Duck"" Dunn Murphy Dunne Willie Hall Tom Malone Lou Marini Matt Murphy Alan Rubin Carrie Fisher Henry Gibson John Candy Kathleen Freeman John Lee Hooker Tom Erhart Gerald Walling Walter Levine Alonzo Atkins Chaka Khan Armand Cerami Steven Williams Kristi Oleson Gary McLarty Joe Cuttone Layne Britton Toni Fleming Rosie Shuster Paul Reubens Ben Piazza Gwen Banta Lari Taylor Cindy Fisher Elizabeth Hoy Tony M. Conde Eugene J. Anthony Dean Hill Jack Orend Gene Schuldt Charles Mountain Frank Oz John Landis Gary Houston Judith Belushi-Pisano Elmore James Stephen Bishop Charles Napier Steven Spielberg Curt Clendenin Twiggy dancing prison chicago country music nun jazz car journey blues nazis music concert music instrument children's home shopping mall orphanage winnebago church sunglasses parole car chase music band loudspeaker saturday night live wrigley field holiday inn"
The Sisterhood of the Traveling Pants 2,"Four young women continue the journey toward adulthood that began with ""The Sisterhood of the Traveling Pants."" Now three years later, these lifelong friends embark on separate paths for their first year of college and the summer beyond, but remain in touch by sharing their experiences with each other. Adventure Comedy Drama Family Alexis Bledel Amber Tamblyn America Ferrera Blake Lively Rachel Nichols Tom Wisdom Michael Rady Leonardo Nam Rachel Ticotin Shohreh Aghdashloo Blythe Danner Jesse Williams Lucy Hale Ernie Lively Kyle MacLachlan Carly Rose Sonenclar Cory Nichols Maria Konstadarou Stevie Ray Dallimore Zacharoula Klimatsaki Rebekah Aramini Paul Coughlan Alison Folland Adrienne Bailon Kiely Williams female friendship best friend summer vacation woman director young adult"
Joyful Noise,"G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition. Comedy Music Queen Latifah Dolly Parton Keke Palmer Jeremy Jordan Courtney B. Vance Kris Kristofferson Dexter Darden Jesse L. Martin Shameik Moore Angela Grovey Kate Kneeland "
About a Boy,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite. Drama Comedy Romance Hugh Grant Nicholas Hoult Toni Collette Rachel Weisz Sharon Small Madison Cook Jordan Cook Nicholas Hutchison Ryan Speechley Joseph Speechley Denise Stephenson Natalia Tena Christopher Webster Isabel Brook Orlando Thor Newman Augustus Prew Victoria Smurfit Paulette P. Williams Susannah Doyle Fritha Goodey Delma Walsh Peter Roy Rosalind Knight Sian Martin Joanne Petitt Cathy Murphy Mark Heap Claire Harman Jason Salkey Annabelle Apsion Russell Barr Jenny Galloway Alex Kew london england rock and roll single parent rap music bachelor becoming an adult friendship single"
Lake Placid,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people! Horror Comedy Action Science Fiction Thriller Bill Pullman Bridget Fonda Oliver Platt Brendan Gleeson Betty White David Lewis Tim Dixon Natassia Malthe Mariska Hargitay Meredith Salenger Jed Rees Richard Leacock Jake T. Roberts Warren Takeuchi Ty Olsson Adam Arkin Steve Miner diving sheriff lake crocodile deputy paleontologist cow maine decapitation severed head scientist remote tooth bear attack campfire severed toe torso cut in half giant crocodile crocodile attack animal horror"
Lucky Number Slevin,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns. Drama Thriller Crime Mystery Josh Hartnett Bruce Willis Lucy Liu Morgan Freeman Ben Kingsley Michael Rubenfeld Peter Outerbridge Stanley Tucci Kevin Chamberlin Dorian Missick Mykelti Williamson Scott Gibson Corey Stoll Robert Forster Sam Jaeger Danny Aiello Jennifer Miller assassination assassin identity sniper mistake in person jew gangster boss gambling debts boss murder sniper rifle fbi agent horse racing gambler slevin caso hoodlum black men"
The Right Stuff,"A chronicle of the original Mercury astronauts in the formation of America's space program: Alan Shepherd, the first American in space; Gus Grissom, the benighted astronaut for whom nothing works out as planned; John Glenn, the straight-arrow 'boy scout' of the bunch who was the first American to orbit the earth; and the remaining pilots: Deke Slayton, Scott Carpenter and Wally Schirra. Drama History Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard Barbara Hershey Lance Henriksen Veronica Cartwright Harry Shearer Jeff Goldblum Kim Stanley Pamela Reed Scott Paulin Charles Frank Donald Moffat Levon Helm Mary Jo Deschanel Scott Wilson Kathy Baker Mickey Crocker Susan Kase Mittie Smith Royal Dano David Clennon Jim Haynie Anthony Munoz John P. Ryan William Russ Mary Apick John Dehner David Gulpilil O-Lan Jones Chuck Yeager cold war pilot space travel politics historical figure flight astronaut space race sound barrier"
Anonymous,"Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays. Drama History Thriller Jamie Campbell Bower Rhys Ifans David Thewlis Joely Richardson Vanessa Redgrave Sebastian Armesto Rafe Spall Edward Hogg Xavier Samuel Sam Reid Paolo De Vita Trystan Gravelle Robert Emms Tony Way Julian Bleach Derek Jacobi Alex Hassell James Garnon Mark Rylance Jasper Britton Ned Dennehy John Keogh Lloyd Hutchinson Vicky Krieps Helen Baxendale Paula Schramm Amy Kwolek Luke Thomas Taylor Isaiah Michalski Timo Huber Richard Durden Shaun Lawton Detlef Bothe James Clyde Christian Sengewald Jean-Loup Fourure Victoria Gabrysch Axel Sichrovsky Katrin Pollitt Patricia Grove Laura Lo Zito Gode Benedix Nic Romm Henry Lloyd-Hughes Patrick Diemling Patrick Heyn Nino Sandow Craig Salisbury Rainer Guldener Trystan Pütter André Kaczmarczyk Jonas Hämmerle Mike Maas Christian Leonard Christian Banzhaf Victoria Calero Martin Engler Alfred Hartung Oliver Kube Christian Ludwig Oliver Rickenbacher Claudius von Stolzmann Tjafke Biallowons Dafne-Maria Fielder Alexander Flache Antonia Gerke Sophie Hichert Lukas Hötzel Vera Kreyer Stefanie Lanius Urban Luig Jasmin Mehling Elisabeth Milarch Robert Munzinger Benjamin Plath Erik Studte Johann Hakob Wurster Steffi Sattler shakespeare anonymity poet play political duringcreditsstinger false history"
The NeverEnding Story,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing. Drama Family Fantasy Adventure Barret Oliver Gerald McRaney Noah Hathaway Drum Garrett Darryl Cooksey Nicholas Gilbert Thomas Hill Frank Lenart Silvia Seidel Tami Stronach Sydney Bromley Moses Gunn Patricia Hayes Alan Oppenheimer Tilo Prückner Heinz Reincke Deep Roy based on novel fictional place wolf mythology magic horse book fairy tale bully school talking animal reading book store fantasy world giant gnome quest"
Dark City,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans. Mystery Science Fiction Rufus Sewell William Hurt Kiefer Sutherland Jennifer Connelly Richard O'Brien Ian Richardson Bruce Spence Colin Friels John Bluthal Mitchell Butel Melissa George Frank Gallacher Ritchie Singer Justin Monjo Nicholas Bell Satya Gumbert Noah Gumbert Frederick Miragliotta soul sleep manipulation future dystopia chaos memory duel parallel world tech noir matrix neo-noir retrofuturism"
The Duchess,"A chronicle of the life of 18th century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life. Drama History Romance Keira Knightley Ralph Fiennes Aidan McArdle Simon McBurney Charlotte Rampling Dominic Cooper Hayley Atwell Bruce Mackinnon Georgia King Alistair Petrie Patrick Godfrey Richard McCabe Andrew Armour england adultery duke gambling debts marriage crisis"
Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies. Adventure Family Fantasy Fairuza Balk Nicol Williamson Jean Marsh Piper Laurie Matt Clark Sean Barrett Denise Bryer Brian Henson Lyle Conway Justin Case John Alexander Deep Roy Emma Ridley wizard of oz"
The Newton Boys,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history. Crime Action Drama Matthew McConaughey Skeet Ulrich Ethan Hawke Vincent D'Onofrio Gail Cronauer Jena Karam Julianna Margulies Casey McAuliffe Dwight Yoakam Charles Gunning Regina Mae Matthews Becket Gremmels Lew Temple Glynn Williams Charles 'Chip' Bray Ken Farmer bank robber crime spree western u.s."
Case 39,"In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters. Horror Mystery Thriller Renée Zellweger Jodelle Ferland Ian McShane Kerry O'Malley Callum Keith Rennie Bradley Cooper Adrian Lester Cynthia Stevenson Alexander Conti Philip Cabrita Vanesa Tomasino Mary Black Domenico D'Ambrosio Benita Ha J. Winston Carroll Michael Bean Lesley Ewen David Patrick Green Dee Jay Jackson Taya Calicetto Alisen Down Darryl Quon Suzanne Bastien Jane Braithwaite Colin Lawrence Fran Gebhard Dagmar Midcap Bill Mondy Andrew Airlie Sarah-Jane Redmond Charles Zuckermann Yvonne Valdez Paul Duchart Daniel Bacon Darren E. Scott Dalias Blake Phillip Mitchell Fulvio Cecere child abuse detective social worker supernatural murder mental institution youth violence danger cityscape drawn falling elevator pier psychological deadly mind and soul supernatural ability"
Suspect Zero,"A killer is on the loose, and an FBI agent sifts through clues and learns that the bloodthirsty felon's victims of choice are other serial killers. Crime Thriller Carrie-Anne Moss Aaron Eckhart Ben Kingsley Harry Lennix Kevin Chamberlin Keith Campbell serial killer"
Martian Child,"A recently-widowed, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars. Drama John Cusack Bobby Coleman Amanda Peet Joan Cusack Oliver Platt Richard Schiff Sophie Okonedo Anjelica Huston Taya Calicetto Zak Ludwig underdog adoption education adoptive father childhood trauma alienation alien"
Spy Kids: All the Time in the World,"Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa (Jessica Alba) is thrown back into the action along with her stepchildren when a maniacal Timekeeper (Jeremy Piven) attempts to take over the world. In order to save the world, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them. Family Comedy Action Jessica Alba Mason Cook Rowan Blanchard Joel McHale Jeremy Piven Alexa PenaVega Daryl Sabara Ricky Gervais Danny Trejo Antonio Banderas Marci Madison spy child hero secret agent espionage"
Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio. Thriller George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West Lenny Venito Giancarlo Esposito Christopher Denham Condola Rashad Emily Meade Chris Bauer Dennis Boutsikaris Olivia Luccardi Aaron Yoo Grant Rosenmeyer Greta Lee Cenk Uygur Carsey Walker Jr. Jim Warden Joseph D. Reitman Grizz Chapman Robert C. Kirk Genevieve Adams Daoud Heidami Anthony DeSando Ivan Martin John Ventimiglia Dominic Colón Chad Jennings Cliff Moylan Brian Edwards Jimmy Gary Jr. Frantzy Orisma Charlie Thurston Patricia Dunnock Sahr Ngaujah Vernon Campbell Daniel K. Isaac Darri Ingolfsson Makhaola Ndebele Jamar Greene Rob Falcone Bobby Kruger David Healy Matt Walton Pun Bandhu Jake Choi Nick Boraine Jeff Witzke Bryan Burton Frank Pando Shauna Mitchell Pat Kiernan bomb sniper tv show hostage drama police hostage-taking new york city stock market stock fraud woman director tv studio
The 51st State,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses. Thriller Action Comedy Crime Samuel L. Jackson Robert Carlyle Emily Mortimer Meat Loaf Rhys Ifans Sean Pertwee Ricky Tomlinson Michael Starke Anna Keaveney Paul Barber Stephen Walters Nigel Whitmey Mac McDonald Michael J. Reynolds Junix Inocian Jake Abraham Aaron Swartz David Webber Nick Bartlett Angus MacInnes Robert Fyfe Robert Jezek Joan Campion Terry O'Neill Marc Anwar Paul Broughton chemical laxative skinheads"
Flawless,An ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons - with the drag queen next door. Comedy Drama Robert De Niro Philip Seymour Hoffman Barry Miller Chris Bauer Skipp Sudduth independent film
Mindhunters,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst. Mystery Thriller Crime LL Cool J Jonny Lee Miller Kathryn Morris Patricia Velásquez Clifton Collins Jr Eion Bailey Will Kemp Val Kilmer Christian Slater Cassandra Bell Daniël Boissevain Antonie Kamerling Jasmine Sendar Trevor White fbi island serial killer series of murders
What Just Happened,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter. Comedy Drama Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci John Turturro Kristen Stewart Lily Rabe Marin Hinkle Catherine Keener Michael Wincott Jason Kravits Mark Ivanir Remy K. Selma Christopher Evan Welch Sam Levinson film producer midlife crisis independent film divorce"
The Statement,"The film is set in France in the 1990s, the French were defeated by the Germans early in World War II, an armistice was signed in 1940 which effectively split France into a German occupied part in the North and a semi-independent part in the south which became known as Vichy France. In reality the Vichy government was a puppet regime controlled by the Germans. Part of the agreement was that the Vichy Government would assist with the 'cleansing' of Jews from France. The Vichy government formed a police force called the Milice, who worked with the Germans... Drama Thriller Michael Caine Tilda Swinton Jeremy Northam Alan Bates Charlotte Rampling John Neville Ciarán Hinds Frank Finlay William Hutt Matt Craven Noam Jenkins "
The Magic Flute,"During World War I, in an unnamed country, a soldier named Tamino is sent by the Queen of the Night to rescue her daughter Pamina from the clutches of the supposedly evil Sarastro. But all is not as it seems. Comedy Drama Music Joseph Kaiser Amy Carson René Pape Lyubov Petrova Benjamin Jay Davis Silvia Moi Tom Randle Jimmy Yuill Michelle Whitney Christopher Stone fictional place opera musical"
Paul Blart: Mall Cop,"Mild-mannered Paul Blart (Kevin James) has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day. Action Adventure Comedy Family Kevin James Keir O'Donnell Jayma Mays Raini Rodriguez Shirley Knight Stephen Rannazzisi Peter Gerety Bobby Cannavale Adam Ferrara Jamal Mixon Adhir Kalyan Erick Avari Gary Valentine Allen Covert Mike Vallely Mike Escamilla Jason Ellis Jason Packham Rick Thorne Victor T. Lopez Natascha Hopkins Jackie Sandler Mookie Barker Jackie Flynn Richie Minervini Brie Hill Arbaugh Steffiana De La Cruz Dylan Clark Marshall Bernie McInerney Tyler Spindel Bas Rutten Teresa Zantua Dahlia Salem Zele Avradopoulos Maria Arcé Robert Harvey Billy Concha Michael Burton Carl Randall Carla Antonino Ruby Wendell Lindsay MacDonald Donna Glee Reim Cindi Alex Dale F. Appel Joel Arsenault Stephanie Atkinson Amber Baldinelli Ellen Becker-Gray William Bornkessel Brian Bradbury Jodie Brunelle Mike Burton Katelyn Cahill Patrick Canty Gio Castellano Chemi Che-Mponda Desiree April Connolly Jeffrey Corazzini D.W. Cormier Benjamin Crocker Diane Curran Nicholas Davis Kevin DeCoste Michael DeMello Hannah Depew Vincent J. Earnshaw Suzanne England Susan Farese Keith Fluker Shawn Fogarty Andy Forgit Victor Franko Sari Gagnon David J. Garfield Suzanne Gillies Albert Gornie Rob W. Gray Dane Grigas Sophya Gudelman Teresa Haney Cody Harter Patrick Mel Hayes Matt Heron-Duranti Mark Hetherington Louis Holmes Frankie Imbergamo Haytham Kandil Ren Knopf Lynn L'Heureux Dan Marshall Andrew J McGuinness Todd Mello Jason Mulcahy Ron Murphy Scott Neufville Chris Palermo Aaron J. Patton Alan Resnic Brieann Rich Michael Rich Nicholas Rich Bradley Robinson Jessica Rockwood Gary Roscoe Eric Ryan Jonathan Sawicki Steve Scarfo Cate Smit Gustin Smith Ylian Alfaro Snyder Jon Robert Stafford Vyvian B. Stevens Stream David Struffolino George J. Vezina Donald Warnock Jon Warnock Mike Wendt G.A. West Kent R. Williams Darryl Wooten security guard duringcreditsstinger"
Freaky Friday,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives. Comedy Jamie Lee Curtis Lindsay Lohan Mark Harmon Harold Gould Haley Hudson Chad Michael Murray Dina Spybey-Waters Stephen Tobolowsky Christina Vidal Ryan Malgarini Rosalind Chao Lucille Soong Willie Garson Julie Gonzalo Christina Marie Walter Lu Elrod Heather Hach Lorna Scott Chris Carlberg Danny Rubin Hayden Tank Cayden Boyd Marc McClure Chris Heuisler Jeffrey Marcus Jacqueline Heinze Mary Ellen Trainor Erica Gimpel William Caploe Daniel Raymont Veronica Brooks Lee Burns Amir Derakh Zoe Waters single parent brother sister relationship mistake in person bride talk show body exchange motherly love high school mother daughter relationship wedding psychiatrist body-swap music band teen comedy child as an adult adult as a child"
The 40 Year Old Virgin,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom. Comedy Romance Steve Carell Catherine Keener Paul Rudd Romany Malco Seth Rogen Jane Lynch Leslie Mann Elizabeth Banks Kat Dennings Mindy Kaling Marilyn Dodds Frank Gerry Bednob Shelley Malil Jordan Masterson Chelsea Smith Erica Vittina Phillips Marika Dominczyk Mo Collins Lee Weaver Stormy Daniels Kevin Hart Jonah Hill Gillian Vigman Kimberly Page Siena Goines Charlie Hartsock Nancy Carell Cedric Yarbrough David Koechner Jeff Kahn Nick Lashaway Loren Berman Miki Mia Jazzmun Shannon Bradley Brianna Brown Liz Carey Elizabeth DeCicco Hilary Shepard Barret Swatek Carla Gallo Michael Bierman Marisa Guterman Wayne Federman Ron Marasco Kate Luyben Joe Nunez Rose Abdoo Steve Bannos Brooke Hamlin Miyoko Shimosawa Ann Christine Brandon Killham Nicole Randall Johnson Suzy Nakamura Jenna Fischer Stephanie Lemelin Jamie Elle Mann Leah McCormick Samantha J. Reese Brittney Skye Phyllis Smith Christopher T. Wood Wyatt Smith Kira Turnage Penny Vital Christa Nicole Wells first time virgin"
Shakespeare in Love,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy. Romance History Joseph Fiennes Gwyneth Paltrow Geoffrey Rush Tom Wilkinson Judi Dench Imelda Staunton Colin Firth Ben Affleck Simon Callow Steven Beard Jim Carter Rupert Everett Martin Clunes Tim McMullan Joe Roberts shakespeare love of one's life oscar award theatre play theatre group writer's block theatre milieu author speculative false history"
A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife. Crime Drama Mystery Thriller Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson Razane Jammal Astro Ólafur Darri Ólafsson Marina Squerciati Sebastian Roché Mark Consuelos Whitney Able Maurice Compte Marielle Heller Annika Peterson Frank De Julio Laura Birn Toshiko Onizawa Patrick McDade Luciano Acuna Jr. Hans Marrero Kim Rosen Eric Nelsen Jon Goracy Stephanie Andujar Al Nazemian Sophia Frank Susham Bedi Purva Bedi Novella Nelson Natia Dune Genevieve Adams Liana De Laurent Danielle Rose Russell David Anzuelo Samuel Mercedes Mike Figueroa Mike Carlsen Leon Addison Brown Damion Lee Jolly Abraham Nina Polan Briana Marin Arthur Gerunda Fabrizio Brienza Dennis Jay Funny Chinasa Ogbuagu Louise G. Colón based on novel murder mafia private investigator new york city alcoholic kingpin wife murder matt scudder
Kindergarten Cop,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one. Comedy Arnold Schwarzenegger Penelope Ann Miller Pamela Reed Linda Hunt Richard Tyson Alix Koromzay Carroll Baker Cathy Moriarty Joseph Cousins Christian Cousins Park Overall Richard Portnow Tom Kurlander Betty Lou Henson Jayne Brook Tom Dugan Catherine Reitman Miko Hughes Adam Wylie Michael Chapman Odette Annable Heidi Swedberg Bob Nelson Molly Cleator Eugene Elman Susan Burns Jason Stuart Ray Glanzmann Ed Crick Angela Bassett Chi Muoi Lo John Hammil Steve Park John Steinkamp Charlie Holliday Lee Forest Judy Wix Galen Yuen Frankie Avina Terry Golden Lee Dupree Debra Casey Peter Mark Vasquez Jacques Apollo Bolton Leo Lee Kenneth Chapman Rick Jones Mimi J. Kauffman Tiffany Reaves Jason Reitman Anne Merrem Arlene J. Phalon Justin Page Peter Rakow Sarah Rose Karr Marissa Rosen Ben McCreary Robert Cave Ben Diskin Tameka Runnels Medha Garg Brian Wagner John Christian Graas Jimmy Darrin Jackson III Ian Baumer Amy Wald Tiffany Mataras Krystle Mataras James Chance Nicole Nagorsky Ross Malinger Amber Reaves Tina Hart Emily Ann Lloyd Haley Hileman Bethany Allyn Zachary Marsh Anthony Wong Remone Bradley Jaime Lucero Jr. Gary Rodriguez Thomas Rosales, Jr. William Rossman Rob Wegner Kim Delgado crime fighter cook drug dealer dying and death kindergarten kiss police teacher children education"
Pineapple Express,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder. Action Comedy Seth Rogen James Franco Danny McBride Gary Cole Rosie Perez Amber Heard Adam Crosby Dana Lee Brian Scannell Craig Robinson Ed Begley Jr. Nora Dunn Joe Lo Truglio Arthur Napiontek Cleo King Bill Hader James Remar Ken Jeong Bobby Lee Connie Sawyer David McDivitt Mae LaBorde John Robert Tramutola Andrew Heald Jeannetta Arnette Jonathan Spencer Howard S. Lefstein Robert Longstreet Kendall Carly Browne Omar Leyva Sam Carson Jack Kehler Peter Lewis Steve Bannos Eddie Rouse Brian Scannell Troy Gentile Jourdan Lee smoking marijuana stoner roach lollipop painting toenails radio call in show driving through a wall seed reference to pandora's box
Ever After: A Cinderella Story,"A unique 16th century woman, Danielle possesses a love of books, and can easily quote from Sir Thomas More’s Utopia. An intriguing mix of tomboyish athleticism and physical beauty, she has more than enough charm to capture the heart of a prince ... after beaning him with an apple. Drama Romance Comedy Drew Barrymore Dougray Scott Anjelica Huston Megan Dodds Melanie Lynskey Timothy West Judy Parfitt Patrick Godfrey Toby Jones Lee Ingleby Jeroen Krabbé Anna Maguire Kate Lansbury Matyelok Gibbs Walter Sparrow Jeanne Moreau Richard O'Brien Peter Gunn Joerg Stadler Andy Henderson Elizabeth Earl Alex Pooley Janet Henfrey Ursula Jones Rupam Maxwell france child abuse slavery leonardo da vinci prince fairy tale royalty orphan evil stepmother step siblings 16th century brigands gypsies classism bandits commoner emotional abuse"
Open Range,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman. Western Kevin Costner Robert Duvall Michael Gambon Michael Jeter Diego Luna James Russo Abraham Benrubi Kim Coates Annette Bening Dean McDermott Herb Kohler Peter MacNeill Cliff Saunders Patricia Stutz Julian Richings horse beef ranger
Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast. Drama Horror Science Fiction Thriller Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt Kimberly Scott Joshua Rudoy Benjamin Mouton Aeryk Egan Kesha Reed Hope Davis Jim Ortlieb John Duda Megan Stewart Tressa Thomas Sanna Vraa Beth Grant Marilyn Dodds Frank Patricia Belcher life and death afterlife swing memory medical student confetti"
